claim,perspective,_S,_A,_B,_U,N,S,U,gold
58,430,2,0,1,0,0,2,1,S
58,431,2,0,0,1,0,2,1,S
58,432,1,0,1,1,0,1,2,N 
58,433,2,0,1,0,0,2,1,S
58,434,0,0,0,3,0,0,3,U
58,435,0,0,0,3,0,0,3,U
58,436,0,0,1,2,0,0,3,U
58,437,0,0,0,3,0,0,3,U
58,9034,1,0,0,0,3,1,0,N
58,9326,0,0,2,0,2,0,2,N
58,9343,0,0,0,0,4,0,0,N
58,9344,1,2,0,1,0,3,1,U
58,9345,1,0,1,0,2,1,1,N
58,9346,0,0,0,0,4,0,0,N
58,9347,0,0,0,0,4,0,0,N
58,9348,1,0,0,0,3,1,0,N
58,9349,0,0,0,0,4,0,0,N
58,9350,0,0,0,0,4,0,0,N
67,503,5,0,0,0,0,5,0,S
67,504,4,1,0,0,0,5,0,S
67,505,3,1,0,0,1,4,0,S
67,506,0,0,1,4,0,0,5,U
67,507,1,0,1,3,0,1,4,U
67,508,0,0,1,4,0,0,5,U
67,8850,0,0,1,0,2,0,1,N
67,9477,0,2,0,1,0,2,1,U
67,9507,0,0,1,0,2,0,1,N
67,9508,1,0,0,0,2,1,0,N
67,9509,0,0,1,0,2,0,1,N
67,9510,0,0,1,0,2,0,1,N
67,9511,0,2,0,1,0,2,1,N
67,9512,0,0,1,0,2,0,1,N
67,9513,0,1,1,0,1,1,1,N
67,9514,0,0,0,1,2,0,1,N
67,9515,1,0,1,0,1,1,1,N
67,9516,0,0,0,0,3,0,0,N
67,9517,0,0,0,1,2,0,1,N
67,9518,0,0,0,0,3,0,0,N
67,9519,3,0,0,0,0,3,0,N 
67,9520,0,2,0,1,0,2,1,U
67,9521,0,0,0,1,2,0,1,N
67,9522,0,3,0,0,0,3,0,U
67,9523,0,1,0,0,2,1,0,N
67,9524,0,0,0,2,1,0,2,N
67,9525,0,0,0,0,3,0,0,N
67,9526,0,0,2,0,1,0,2,N
67,9527,0,0,1,0,2,0,1,N
67,9528,0,0,0,0,3,0,0,N
67,9529,1,0,0,1,1,1,1,N
67,9530,0,0,1,0,2,0,1,N
67,9531,0,0,0,1,2,0,1,N
67,9532,0,0,1,0,2,0,1,N
67,9533,0,3,0,0,0,3,0,N
462,3440,1,1,1,0,0,2,1,S
462,3441,0,2,0,1,0,2,1,S
462,3442,0,2,1,0,0,2,1,S
462,3443,2,1,0,0,0,3,0,S
462,3444,1,1,0,1,0,2,1,U
462,3445,0,3,0,0,0,3,0,U
462,3446,0,0,1,2,0,0,3,U
462,10050,3,0,0,0,0,3,0,S
462,10581,1,0,0,0,2,1,0,N
462,11585,0,0,0,2,1,0,2,N
462,12235,0,0,0,0,3,0,0,N
462,12707,2,0,1,0,0,2,1,S
462,12892,1,0,1,0,1,1,1,N
462,15213,1,0,1,0,1,1,1,N
462,15214,0,0,1,1,1,0,2,S
462,15215,2,0,0,0,1,2,0,N
462,15216,3,0,0,0,0,3,0,S
462,15217,0,0,0,0,3,0,0,N
462,15218,1,0,1,0,1,1,1,S
462,15219,2,0,0,1,0,2,1,N 
462,15220,0,0,1,0,2,0,1,N
581,4570,3,0,0,0,0,3,0,S
581,4571,3,0,0,0,0,3,0,S
581,4572,3,0,0,0,0,3,0,S
581,4573,3,0,0,0,0,3,0,S
581,4574,3,0,0,0,0,3,0,S
581,4575,3,0,0,0,0,3,0,S
581,4576,3,0,0,0,0,3,0,S
581,4577,3,0,0,0,0,3,0,S
581,4578,3,0,0,0,0,3,0,S
581,4579,3,0,0,0,0,3,0,S
581,4580,3,0,0,0,0,3,0,S
581,4581,2,1,0,0,0,3,0,S
581,4582,1,1,0,1,0,2,1,S
581,4583,3,0,0,0,0,3,0,S
581,4584,3,0,0,0,0,3,0,S
581,4585,2,1,0,0,0,3,0,S
581,4586,1,2,0,0,0,3,0,S
581,4587,1,1,0,0,1,2,0,S
581,4588,1,0,0,1,1,1,1,S
581,4589,3,0,0,0,0,3,0,S
581,4590,0,0,0,1,2,0,1,N
581,4591,0,0,0,3,0,0,3,U
581,4592,0,0,0,3,0,0,3,U
581,4593,0,0,1,2,0,0,3,U
581,4594,0,0,0,3,0,0,3,U
581,4595,0,0,0,3,0,0,3,U
581,4596,0,0,0,3,0,0,3,U
581,4597,0,0,0,2,1,0,2,U
581,4598,1,0,0,1,1,1,1,U
581,4599,0,0,0,3,0,0,3,U
581,4600,0,0,0,3,0,0,3,U
581,4601,0,0,0,1,2,0,1,U
581,4602,0,0,0,3,0,0,3,U
581,4603,0,0,2,1,0,0,3,U
581,4604,0,1,0,1,1,1,1,N
581,4605,0,0,1,1,1,0,2,U
581,4606,0,0,0,3,0,0,3,U
581,4607,0,0,1,0,2,0,1,U
581,4608,0,0,1,2,0,0,3,U 
581,4609,0,0,0,3,0,0,3,U
581,4610,0,0,0,3,0,0,3,U
581,4611,0,0,1,2,0,0,3,U
581,8147,0,0,1,0,2,0,1,N
581,8149,0,0,1,0,2,0,1,N
581,8328,1,0,2,0,0,1,2,S
581,9794,0,0,0,0,3,0,0,N
581,10047,0,0,0,0,3,0,0,N
581,10208,0,0,0,1,2,0,1,N 
581,10269,0,0,1,0,2,0,1,U
581,10970,0,0,1,0,2,0,1,N
581,11153,1,0,2,0,0,1,2,S
581,11494,0,1,1,0,1,1,1,S
581,11918,0,0,0,0,3,0,0,N
581,12204,0,0,0,0,3,0,0,N
581,12373,0,0,0,0,3,0,0,N
581,12626,0,0,0,0,3,0,0,N
581,13378,0,0,0,0,3,0,0,N
581,13435,3,0,0,0,0,3,0,S
581,13436,0,0,3,0,0,0,3,N
581,13438,0,2,0,1,0,2,1,U
581,13444,0,1,0,0,2,1,0,N
581,13627,0,2,0,1,0,2,1,U
581,14143,0,1,0,0,2,1,0,U
581,14483,0,1,1,0,1,1,1,U 
581,15109,1,0,2,0,0,1,2,S
581,15225,1,0,0,0,2,1,0,N
581,15281,0,1,0,0,2,1,0,N
581,15671,0,1,1,0,1,1,1,S
581,15834,1,0,0,0,2,1,0,N
581,15881,0,1,0,0,2,1,0,N
581,15927,0,0,0,0,3,0,0,N
581,15929,0,0,0,1,2,0,1,N
581,16602,0,0,1,0,2,0,1,N
581,16614,0,0,0,1,2,0,1,N
581,16678,1,0,0,0,2,1,0,N
581,16679,2,0,1,0,0,2,1,S
581,16750,0,0,1,0,2,0,1,N
581,16815,1,0,2,0,0,1,2,S
581,16816,0,0,2,1,0,0,3,U
581,16817,1,0,1,1,0,1,2,U
581,16818,1,0,2,0,0,1,2,S
581,16819,0,1,2,0,0,1,2,N
581,16820,2,0,1,0,0,2,1,S
581,16821,3,0,0,0,0,3,0,S
581,16822,2,0,1,0,0,2,1,S
581,16823,1,0,0,0,2,1,0,N
581,16824,0,1,0,0,2,1,0,S
581,16825,0,0,3,0,0,0,3,S
581,16826,0,0,1,0,2,0,1,U
581,16827,0,0,0,0,3,0,0,N
581,16828,0,2,0,1,0,2,1,U
581,16829,3,0,0,0,0,3,0,S
581,16830,0,0,0,0,3,0,0,N
581,16831,0,0,0,0,3,0,0,N
581,16832,0,0,0,1,2,0,1,N
581,16833,0,1,0,1,1,1,1,N
581,16834,0,0,0,1,2,0,1,N
581,16835,3,0,0,0,0,3,0,S
581,16836,0,1,0,2,0,1,2,U
581,16837,0,1,0,2,0,1,2,U
581,16838,2,0,1,0,0,2,1,S
581,16839,0,1,0,0,2,1,0,N
581,16840,3,0,0,0,0,3,0,S
581,16841,0,1,0,0,2,1,0,N
581,16842,0,1,0,0,2,1,0,S
581,16843,2,0,1,0,0,2,1,S
581,16844,2,0,0,0,1,2,0,S
581,16845,0,0,1,0,2,0,1,N 
581,16846,0,0,0,0,3,0,0,N
581,16847,0,0,0,0,3,0,0,N
581,16848,1,1,1,0,0,2,1,S
581,16849,1,0,1,0,1,1,1,N 
581,16850,0,0,1,1,1,0,2,U
581,16851,0,0,1,2,0,0,3,N
581,16852,0,0,1,2,0,0,3,U
581,16853,0,0,1,1,1,0,2,U
581,16854,1,0,2,0,0,1,2,S
581,16855,1,0,2,0,0,1,2,S
581,16856,0,0,1,2,0,0,3,U
581,16857,0,0,0,0,3,0,0,N
581,16858,0,0,0,0,3,0,0,N
581,16859,0,1,0,0,2,1,0,S
581,16860,0,1,1,0,1,1,1,U
581,16861,0,1,0,1,1,1,1,U
581,16862,0,0,0,0,3,0,0,N
581,16863,0,1,0,0,2,1,0,U
581,16864,0,0,0,0,3,0,0,N
581,16865,0,1,1,0,1,1,1,N
581,16866,1,0,2,0,0,1,2,S
581,16867,0,1,0,0,2,1,0,N
581,16868,0,1,1,1,0,1,2,U
581,16869,0,1,1,0,1,1,1,N
581,16870,0,1,0,1,1,1,1,U
581,16871,0,1,0,0,2,1,0,N
581,16872,2,0,1,0,0,2,1,S
581,16873,1,0,1,0,1,1,1,S
581,16874,0,1,1,0,1,1,1,N
581,16875,0,0,0,1,2,0,1,N
581,16876,0,0,0,0,3,0,0,N
581,16877,0,1,0,0,2,1,0,N
581,16878,1,0,2,0,0,1,2,S
581,16879,0,0,0,1,2,0,1,S
581,16880,0,0,0,1,2,0,1,N
581,16881,0,0,1,2,0,0,3,U
581,16882,0,0,1,0,2,0,1,N
581,16883,0,0,1,0,2,0,1,S
581,16884,0,0,1,0,2,0,1,U
581,16885,0,1,0,1,1,1,1,N
581,16886,1,0,2,0,0,1,2,S
581,16887,0,1,1,0,1,1,1,S
581,16888,0,1,0,2,0,1,2,U
581,16889,0,0,0,0,3,0,0,N
581,16890,0,0,0,0,3,0,0,N
581,16891,0,1,0,0,2,1,0,N
875,7092,0,0,0,3,0,0,3,U
875,7093,0,0,0,3,0,0,3,U
875,7094,0,0,0,2,1,0,2,U
875,7095,0,1,0,2,0,1,2,S
875,7096,0,0,0,3,0,0,3,U
875,7097,0,0,0,1,2,0,1,U
875,7098,0,0,0,1,2,0,1,U
875,9278,0,0,2,0,1,0,2,N
875,11116,3,0,0,0,0,3,0,N 
875,11357,2,0,0,0,1,2,0,N
875,16897,0,3,0,0,0,3,0,N
875,18313,3,0,0,0,0,3,0,N
875,19647,0,0,0,0,3,0,0,N
875,19835,0,1,0,0,2,1,0,N
875,19836,1,0,0,0,2,1,0,N
875,19837,0,0,0,0,3,0,0,N
875,19838,0,0,1,1,1,0,2,N
875,19839,0,1,0,1,1,1,1,U
875,19840,0,2,0,0,1,2,0,N
875,19841,0,0,1,0,2,0,1,N
875,19842,3,0,0,0,0,3,0,S
875,19843,0,2,0,0,1,2,0,N
875,19844,1,0,2,0,0,1,2,S
875,19845,0,0,0,0,3,0,0,N
875,19846,3,0,0,0,0,3,0,N
875,19847,1,0,1,0,1,1,1,N
875,19848,1,0,1,0,1,1,1,S
875,19849,0,0,1,0,2,0,1,N
929,7512,3,0,0,0,0,3,0,S
929,7513,2,1,0,0,0,3,0,S
929,7514,0,0,0,3,0,0,3,U
929,7515,1,1,0,0,1,2,0,U
929,7516,1,0,1,0,1,1,1,N
929,7517,1,0,0,2,0,1,2,N
929,9941,0,1,0,0,2,1,0,N 
929,10007,0,1,0,0,2,1,0,N
929,10150,1,1,0,0,1,2,0,N
929,11000,0,1,1,1,0,1,2,N
929,11351,1,0,1,1,0,1,2,U 
929,11352,2,0,0,1,0,2,1,N
929,11354,1,2,0,0,0,3,0,N
929,11355,0,3,0,0,0,3,0,N
929,11357,2,1,0,0,0,3,0,N
929,18518,3,0,0,0,0,3,0,S
929,18519,1,1,0,0,1,2,0,N
929,18520,1,1,0,0,1,2,0,N
929,20196,0,0,0,0,3,0,0,N
929,20197,0,1,0,0,2,1,0,N
929,20198,0,0,0,2,1,0,2,N
929,20199,0,0,0,0,3,0,0,S
929,20200,0,0,0,0,3,0,0,N
929,20201,0,1,0,0,2,1,0,N
929,20202,0,0,0,0,3,0,0,N
955,7638,1,0,0,0,1,1,0,N
955,7639,0,2,0,0,0,2,0,N
955,7640,0,0,0,2,0,0,2,U
955,14301,0,0,0,1,2,0,1,N
955,18553,0,0,1,0,2,0,1,N
955,20348,1,0,1,1,0,1,2,N
955,20349,1,1,1,0,0,2,1,N
955,20350,1,2,0,0,0,3,0,N
955,20351,1,0,1,1,0,1,2,N
955,20352,1,1,1,0,0,2,1,N
955,20353,1,0,1,1,0,1,2,N
955,20354,0,1,1,1,0,1,2,N
983,7876,2,0,0,0,0,2,0,S
983,7877,0,0,0,1,1,0,1,U
983,7878,0,0,0,2,0,0,2,N
983,9108,0,0,2,0,0,0,2,N 
983,9109,0,0,1,1,0,0,2,N
983,9120,1,0,0,1,0,1,1,N
983,10775,0,0,2,0,0,0,2,N
983,20562,1,0,0,0,1,1,0,S
989,7910,3,0,0,0,0,3,0,S
989,7911,0,1,0,1,1,1,1,N
989,7912,0,0,0,2,1,0,2,N
989,7913,1,0,0,2,0,1,2,U
989,7914,0,0,0,3,0,0,3,U
989,7915,0,0,1,2,0,0,3,U
989,7916,1,0,0,2,0,1,2,U
989,7917,0,0,0,3,0,0,3,U
989,8363,0,0,0,0,2,0,0,N
989,9454,1,0,1,0,0,1,1,N
989,9788,0,0,0,0,2,0,0,N 
989,11230,1,0,0,1,0,1,1,S
989,12203,0,0,0,0,2,0,0,N
989,12483,1,1,0,0,0,2,0,N
989,12984,0,0,0,0,2,0,0,N 
989,15729,1,0,0,0,1,1,0,U
989,16061,1,0,0,0,1,1,0,N
989,19041,0,1,0,0,1,1,0,U
989,20608,1,0,0,0,1,1,0,U
989,20609,0,0,0,0,2,0,0,N
989,20610,0,0,0,0,2,0,0,N
989,20611,0,0,0,0,2,0,0,N
989,20612,0,0,0,0,2,0,0,N
989,20613,0,0,0,0,2,0,0,N
989,20614,0,0,0,0,2,0,0,N
989,20615,2,0,0,0,0,2,0,S